Select,CRN,Subj,Crse,Sec,Cmp,Cred,Title,Days,Time,Cap,Act,Rem,Instructor,Date (MM DD),Location,Attribute
C,27856,ACCT,229,513,CS,3,INTRO ACCOUNTING(Syllabus),T,07:15 pm to 09:00 pm,55,56, to 1,Lindsey E. Mudge (P),03 27 to 03 27,TBA,N A
C,27856,ACCT,229,513,CS,3,INTRO ACCOUNTING(Syllabus),T,07:15 pm to 09:00 pm,55,56, to 1,Lindsey E. Mudge (P),04 24 to 04 24,TBA,N A
C,27857,ACCT,229,514,CS,3,INTRO ACCOUNTING(Syllabus),TR,11:10 am to 12:25 pm,55,56, to 1,Lindsey E. Mudge (P),01 17 to 05 08,WCBA 155,N A
C,27857,ACCT,229,514,CS,3,INTRO ACCOUNTING(Syllabus),T,07:15 pm to 09:00 pm,55,56, to 1,Lindsey E. Mudge (P),02 20 to 02 20,TBA,N A
C,27857,ACCT,229,514,CS,3,INTRO ACCOUNTING(Syllabus),T,07:15 pm to 09:00 pm,55,56, to 1,Lindsey E. Mudge (P),03 27 to 03 27,TBA,N A
C,27857,ACCT,229,514,CS,3,INTRO ACCOUNTING(Syllabus),T,07:15 pm to 09:00 pm,55,56, to 1,Lindsey E. Mudge (P),04 24 to 04 24,TBA,N A
C,10010,ACCT,230,201,CS,3,HNR to INTRO ACCOUNTING(Syllabus),MW,02:20 pm to 03:35 pm,25,25,0,Natalie L. Allen(P),01 17 to 05 08,WCBA 462,Honors and NonTraditional Format Approved
C,10010,ACCT,230,201,CS,3,HNR to INTRO ACCOUNTING(Syllabus),T,07:15 pm to 09:00 pm,25,25,0,Natalie L. Allen(P),02 13 to 02 13,TBA,N A
C,10010,ACCT,230,201,CS,3,HNR to INTRO ACCOUNTING(Syllabus),T,07:15 pm to 09:00 pm,25,25,0,Natalie L. Allen(P),03 06 to 03 06,TBA,N A
C,10010,ACCT,230,201,CS,3,HNR to INTRO ACCOUNTING(Syllabus),T,07:15 pm to 09:00 pm,25,25,0,Natalie L. Allen(P),04 10 to 04 10,TBA,N A
C,10012,ACCT,230,501,CS,3,INTRO ACCOUNTING(Syllabus),MW,10:20 am to 11:10 am,218,218,0,Natalie L. Allen(P),01 17 to 05 08,WCBA 114,NonTraditional Format Approved
C,10012,ACCT,230,501,CS,3,INTRO ACCOUNTING(Syllabus),T,07:15 pm to 09:00 pm,218,218,0,Natalie L. Allen(P),02 13 to 02 13,TBA,N A
C,10012,ACCT,230,501,CS,3,INTRO ACCOUNTING(Syllabus),T,07:15 pm to 09:00 pm,218,218,0,Natalie L. Allen(P),03 06 to 03 06,TBA,N A
C,10012,ACCT,230,501,CS,3,INTRO ACCOUNTING(Syllabus),T,07:15 pm to 09:00 pm,218,218,0,Natalie L. Allen(P),04 10 to 04 10,TBA,N A
NR,10013,ACCT,230,502,CS,3,INTRO ACCOUNTING(Syllabus),MW,11:30 am to 12:20 pm,450,397,53,Natalie L. Allen(P),01 17 to 05 08,WCBA 113,NonTraditional Format Approved
NR,10013,ACCT,230,502,CS,3,INTRO ACCOUNTING(Syllabus),T,07:15 pm to 09:00 pm,450,397,53,Natalie L. Allen(P),02 13 to 02 13,TBA,N A
NR,10013,ACCT,230,502,CS,3,INTRO ACCOUNTING(Syllabus),T,07:15 pm to 09:00 pm,450,397,53,Natalie L. Allen(P),03 06 to 03 06,TBA,N A
NR,10013,ACCT,230,502,CS,3,INTRO ACCOUNTING(Syllabus),T,07:15 pm to 09:00 pm,450,397,53,Natalie L. Allen(P),04 10 to 04 10,TBA,N A
C,10016,ACCT,321,500,CS,2,PROF DEVELOPMENT SEMINAR(Syllabus),TR,05:30 pm to 06:45 pm,212,212,0,Kevin Roach(P),01 17 to 05 08,WCBA 113,NonTraditional Format Exclude
NR,21666,ACCT,322,500,CS,1,PROF DEVELOPMENT BBA(Syllabus),MW,04:00 pm to 05:30 pm,69,67,2,Tara N. Blasor(P),01 17 to 05 08,WCBA 111,NonTraditional Format Approved
C,16673,ACCT,327,501,CS,3,FINANCIAL REPORTING I(Syllabus),MW,08:00 am to 09:15 am,44,68, to 24,Ryan Larkin(P),01 17 to 05 08,WCBA 111,N A
C,16673,ACCT,327,501,CS,3,FINANCIAL REPORTING I(Syllabus),T,07:15 pm to 09:00 pm,44,68, to 24,Ryan Larkin(P),02 13 to 02 13,TBA,N A
C,16673,ACCT,327,501,CS,3,FINANCIAL REPORTING I(Syllabus),T,07:15 pm to 09:00 pm,44,68, to 24,Ryan Larkin(P),03 27 to 03 27,TBA,N A
C,16673,ACCT,327,501,CS,3,FINANCIAL REPORTING I(Syllabus),T,07:15 pm to 09:00 pm,44,68, to 24,Ryan Larkin(P),04 24 to 04 24,TBA,N A
C,16674,ACCT,327,502,CS,3,FINANCIAL REPORTING I(Syllabus),MW,09:35 am to 10:50 am,44,61, to 17,Ryan Larkin(P),01 17 to 05 08,WCBA 111,N A
C,16674,ACCT,327,502,CS,3,FINANCIAL REPORTING I(Syllabus),T,07:15 pm to 09:00 pm,44,61, to 17,Ryan Larkin(P),02 13 to 02 13,TBA,N A
C,16674,ACCT,327,502,CS,3,FINANCIAL REPORTING I(Syllabus),T,07:15 pm to 09:00 pm,44,61, to 17,Ryan Larkin(P),03 27 to 03 27,TBA,N A
C,16674,ACCT,327,502,CS,3,FINANCIAL REPORTING I(Syllabus),T,07:15 pm to 09:00 pm,44,61, to 17,Ryan Larkin(P),04 24 to 04 24,TBA,N A
C,10017,ACCT,327,503,CS,3,FINANCIAL REPORTING I(Syllabus),MW,11:10 am to 12:25 pm,44,46, to 2,Ryan Larkin(P),01 17 to 05 08,WCBA 104,N A
C,10017,ACCT,327,503,CS,3,FINANCIAL REPORTING I(Syllabus),T,07:15 pm to 09:00 pm,44,46, to 2,Ryan Larkin(P),02 13 to 02 13,TBA,N A
C,10017,ACCT,327,503,CS,3,FINANCIAL REPORTING I(Syllabus),T,07:15 pm to 09:00 pm,44,46, to 2,Ryan Larkin(P),03 27 to 03 27,TBA,N A
C,10017,ACCT,327,503,CS,3,FINANCIAL REPORTING I(Syllabus),T,07:15 pm to 09:00 pm,44,46, to 2,Ryan Larkin(P),04 24 to 04 24,TBA,N A
C,10018,ACCT,327,504,CS,3,FINANCIAL REPORTING I(Syllabus),MW,12:45 pm to 02:00 pm,44,62, to 18,Lynn Rees(P),01 17 to 05 08,WCBA 111,N A
C,10018,ACCT,327,504,CS,3,FINANCIAL REPORTING I(Syllabus),T,07:15 pm to 09:00 pm,44,62, to 18,Lynn Rees(P),02 13 to 02 13,TBA,N A
C,10018,ACCT,327,504,CS,3,FINANCIAL REPORTING I(Syllabus),T,07:15 pm to 09:00 pm,44,62, to 18,Lynn Rees(P),03 27 to 03 27,TBA,N A
C,10018,ACCT,327,504,CS,3,FINANCIAL REPORTING I(Syllabus),T,07:15 pm to 09:00 pm,44,62, to 18,Lynn Rees(P),04 24 to 04 24,TBA,N A
C,23830,ACCT,327,505,CS,3,FINANCIAL REPORTING I(Syllabus),MW,02:20 pm to 03:35 pm,44,62, to 18,Lynn Rees(P),01 17 to 05 08,WCBA 111,N A
C,23830,ACCT,327,505,CS,3,FINANCIAL REPORTING I(Syllabus),T,07:15 pm to 09:00 pm,44,62, to 18,Lynn Rees(P),02 13 to 02 13,TBA,N A
C,23830,ACCT,327,505,CS,3,FINANCIAL REPORTING I(Syllabus),T,07:15 pm to 09:00 pm,44,62, to 18,Lynn Rees(P),03 27 to 03 27,TBA,N A
C,23830,ACCT,327,505,CS,3,FINANCIAL REPORTING I(Syllabus),T,07:15 pm to 09:00 pm,44,62, to 18,Lynn Rees(P),04 24 to 04 24,TBA,N A
C,23831,ACCT,327,506,CS,3,FINANCIAL REPORTING I(Syllabus),TR,12:45 pm to 02:00 pm,0,30, to 30,Ana Lucia Kolasinski(P),01 17 to 05 08,WCBA 182,N A
C,23831,ACCT,327,506,CS,3,FINANCIAL REPORTING I(Syllabus),T,07:15 pm to 09:00 pm,0,30, to 30,Ana Lucia Kolasinski(P),02 13 to 02 13,TBA,N A
C,23831,ACCT,327,506,CS,3,FINANCIAL REPORTING I(Syllabus),T,07:15 pm to 09:00 pm,0,30, to 30,Ana Lucia Kolasinski(P),03 27 to 03 27,TBA,N A
C,23831,ACCT,327,506,CS,3,FINANCIAL REPORTING I(Syllabus),T,07:15 pm to 09:00 pm,0,30, to 30,Ana Lucia Kolasinski(P),04 24 to 04 24,TBA,N A
C,10019,ACCT,328,501,CS,3,FINANCIAL REPORTING II(Syllabus),TR,12:45 pm to 02:00 pm,38,41, to 3,Sarah C. Rice(P),01 17 to 05 08,WCBA 161,N A
C,10020,ACCT,328,502,CS,3,FINANCIAL REPORTING II(Syllabus),TR,02:20 pm to 03:35 pm,38,41, to 3,Sarah C. Rice(P),01 17 to 05 08,WCBA 161,N A
C,18710,ACCT,328,503,CS,3,FINANCIAL REPORTING II(Syllabus),TR,03:55 pm to 05:10 pm,38,40, to 2,Sarah C. Rice(P),01 17 to 05 08,WCBA 161,N A
C,26523,ACCT,328,504,CS,3,FINANCIAL REPORTING II(Syllabus),TR,08:00 am to 09:15 am,38,38,0,Steven Grossman(P),01 17 to 05 08,WCBA 104,N A
C,26524,ACCT,328,505,CS,3,FINANCIAL REPORTING II(Syllabus),TR,09:35 am to 10:50 am,38,41, to 3,Steven Grossman(P),01 17 to 05 08,WCBA 104,N A
C,26525,ACCT,328,506,CS,3,FINANCIAL REPORTING II(Syllabus),TR,11:10 am to 12:25 pm,38,39, to 1,Steven Grossman(P),01 17 to 05 08,WCBA 104,N A
C,27388,ACCT,328,510,CS,3,FINANCIAL REPORTING II(Syllabus),TR,11:10 am to 12:25 pm,0,30, to 30,Ana Lucia Kolasinski(P),01 17 to 05 08,WCBA 182,N A
NR,15758,ACCT,329,501,CS,3,COST MGMT & ANALYSIS(Syllabus),T,12:45 pm to 02:00 pm,160,99,61,Karen C. Farmer(P),01 17 to 05 08,WCBA 114,NonTraditional Format Approved
C,10021,ACCT,405,501,CS,3,INCOME TAX(Syllabus),TR,09:35 am to 10:50 am,28,37, to 9,Sean T. McGuire(P),01 17 to 05 08,WCBA 462,N A
C,10021,ACCT,405,501,CS,3,INCOME TAX(Syllabus),T,07:15 pm to 09:00 pm,28,37, to 9,Sean T. McGuire(P),03 06 to 03 06,TBA,N A
